,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.75,15,0.0,0.75,15,0.0,1.0,20,0.0,1.0,20,0.1,gbr,3,0.1,1000
0,0.058823529411764705,0.8421052631578947,17,0.058823529411764705,0.8421052631578947,17,0.058823529411764705,0.8421052631578947,17,0.058823529411764705,0.8421052631578947,17,0.1,rf,3,0.1,1000
0,0.06666666666666667,0.7777777777777778,15,0.06666666666666667,0.7777777777777778,15,0.05,1.0,20,0.05,1.0,20,0.1,svm,3,0.1,1000
