,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.47368421052631576,9,0.0,0.47368421052631576,9,0.0,0.5789473684210527,11,0.0,0.5789473684210527,11,0.1,gbr,12,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,12,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.5789473684210527,11,0.0,0.5789473684210527,11,0.1,svm,12,0.1,1000
