,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.5789473684210527,11,0.0,0.5789473684210527,11,0.0,0.631578947368421,12,0.0,0.631578947368421,12,0.1,gbr,48,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,48,0.1,1000
0,0.09090909090909091,0.625,11,0.09090909090909091,0.625,11,0.15,1.0,20,0.15,1.0,20,0.1,svm,48,0.1,1000
