,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,20,0.0,1.0,20,0.1,gbr,43,0.1,1000
0,0.05263157894736842,0.9473684210526315,19,0.05263157894736842,0.9473684210526315,19,0.05263157894736842,0.9473684210526315,19,0.05263157894736842,0.9473684210526315,19,0.1,rf,43,0.1,1000
0,0.0,0.8,16,0.0,0.8,16,0.0,1.0,20,0.0,1.0,20,0.1,svm,43,0.1,1000
