,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.4444444444444444,8,0.0,0.4444444444444444,8,0.1,1.0,20,0.1,1.0,20,0.1,gbr,35,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,35,0.1,1000
0,0.11764705882352941,0.8823529411764706,17,0.11764705882352941,0.8823529411764706,17,0.05,1.0,20,0.05,1.0,20,0.1,svm,35,0.1,1000
