,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.0625,0.8333333333333334,16,0.0625,0.8333333333333334,16,0.1,gbr,8,0.1,1000
0,0.11764705882352941,0.8333333333333334,17,0.11764705882352941,0.8333333333333334,17,0.11764705882352941,0.8333333333333334,17,0.11764705882352941,0.8333333333333334,17,0.1,rf,8,0.1,1000
0,0.058823529411764705,0.9411764705882353,17,0.058823529411764705,0.9411764705882353,17,0.10526315789473684,1.0,19,0.10526315789473684,1.0,19,0.1,svm,8,0.1,1000
