,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.07692307692307693,0.7058823529411765,13,0.07692307692307693,0.7058823529411765,13,0.07692307692307693,0.7058823529411765,13,0.07692307692307693,0.7058823529411765,13,0.1,gbr,36,0.1,1000
0,0.0,0.631578947368421,12,0.0,0.631578947368421,12,0.0,0.631578947368421,12,0.0,0.631578947368421,12,0.1,rf,36,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.13333333333333333,0.7222222222222222,15,0.13333333333333333,0.7222222222222222,15,0.1,svm,36,0.1,1000
