,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.06666666666666667,0.7777777777777778,15,0.06666666666666667,0.7777777777777778,15,0.1,gbr,61,0.1,1000
0,0.0,0.7894736842105263,15,0.0,0.7894736842105263,15,0.0,0.7894736842105263,15,0.0,0.7894736842105263,15,0.1,rf,61,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.85,17,0.0,0.85,17,0.1,svm,61,0.1,1000
