,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.0,0.6,12,0.0,0.6,12,0.1,gbr,63,0.1,1000
0,0.0,0.5555555555555556,10,0.0,0.5555555555555556,10,0.0,0.5555555555555556,10,0.0,0.5555555555555556,10,0.1,rf,63,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.06666666666666667,0.7368421052631579,15,0.06666666666666667,0.7368421052631579,15,0.1,svm,63,0.1,1000
