,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.0625,0.7894736842105263,16,0.0625,0.7894736842105263,16,0.1,gbr,5,0.1,1000
0,0.0,0.47058823529411764,8,0.0,0.47058823529411764,8,0.0,0.47058823529411764,8,0.0,0.47058823529411764,8,0.1,rf,5,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.1111111111111111,0.8888888888888888,18,0.1111111111111111,0.8888888888888888,18,0.1,svm,5,0.1,1000
