,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.47368421052631576,9,0.0,0.47368421052631576,9,0.0,0.47368421052631576,9,0.0,0.47368421052631576,9,0.1,gbr,24,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,24,0.1,1000
0,0.0,0.5,9,0.0,0.5,9,0.05555555555555555,0.8947368421052632,18,0.05555555555555555,0.8947368421052632,18,0.1,svm,24,0.1,1000
