,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.17647058823529413,0.8235294117647058,17,0.17647058823529413,0.8235294117647058,17,0.05263157894736842,0.9473684210526315,19,0.05263157894736842,0.9473684210526315,19,0.1,gbr,64,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,64,0.1,1000
0,0.0625,0.7894736842105263,16,0.0625,0.7894736842105263,16,0.0,0.95,19,0.0,0.95,19,0.1,svm,64,0.1,1000
