,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.13333333333333333,6.5,15,0.13333333333333333,6.5,15,0.13333333333333333,6.5,15,0.13333333333333333,6.5,15,0.1,gbr,93,0.1,1000
0,0.08333333333333333,2.75,12,0.08333333333333333,2.75,12,0.08333333333333333,2.75,12,0.08333333333333333,2.75,12,0.1,rf,93,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,4.5,18,0.0,4.5,18,0.1,svm,93,0.1,1000
