,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.0,0,0.0,0.0,0,0.07692307692307693,0.631578947368421,13,0.07692307692307693,0.631578947368421,13,0.1,gbr,26,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,26,0.1,1000
0,0.0,0.6842105263157895,13,0.0,0.6842105263157895,13,0.0,0.8947368421052632,17,0.0,0.8947368421052632,17,0.1,svm,26,0.1,1000
