,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.0,0.4,8,0.0,0.4,8,0.0,0.7,14,0.0,0.7,14,0.1,gbr,50,0.1,1000
0,0.07142857142857142,0.7222222222222222,14,0.07142857142857142,0.7222222222222222,14,0.07142857142857142,0.7222222222222222,14,0.07142857142857142,0.7222222222222222,14,0.1,rf,50,0.1,1000
0,0.0,0.5,10,0.0,0.5,10,0.0,0.7,14,0.0,0.7,14,0.1,svm,50,0.1,1000
