,BH_res_fdp_pi,BH_res_power_pi,BH_res_nsel_pi,BH_rel_fdp_pi,BH_rel_power_pi,BH_rel_nsel_pi,BH_clip_fdp_pi,BH_clip_power_pi,BH_clip_nsel_pi,BH_2clip_fdp_pi,BH_2clip_power_pi,BH_2clip_nsel_pi,q,regressor,seed,sigma,ntest
0,0.058823529411764705,0.8421052631578947,17,0.058823529411764705,0.8421052631578947,17,0.05263157894736842,0.9473684210526315,19,0.05263157894736842,0.9473684210526315,19,0.1,gbr,72,0.1,1000
0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.1,rf,72,0.1,1000
0,0.10526315789473684,0.9444444444444444,19,0.10526315789473684,0.9444444444444444,19,0.0,0.95,19,0.0,0.95,19,0.1,svm,72,0.1,1000
